Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
270,NIT,"National Institute of Technology, Uttarakhand",Electrical and Electronics Engineering,32523,31544,32287,33738
271,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Electrical and Electronics Engineering,32544,31677,31361,34595
272,GFTI,Shri G. S. Institute of Technology and Science Indore,Information Technology,32619,,,32619
273,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Mathematics and Computing,32675,32362,31152,34512
274,IIIT,Indian Institute of Information Technology Tiruchirappalli,Electronics and Communication Engineering (VLSI Design),32763,,,32763
275,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Computer Science and Engineering,32966,32990,32761,33147
276,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence),33019,30734,31336,36988
277,NIT,National Institute of Technology Goa,Mechanical Engineering,33107,35307,31124,32890
278,GFTI,University of Hyderabad,Computer Science and Engineering,33443,30684,33350,36294
279,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Computer Science and Engineering (Cyber Security),33519,,31872,35166
